WATERLOO WTR%,House,Water
WTRLOO HYD%,House,Hydro
WTRLOO TAX%,House,Tax
RELIANCE%,House,WaterHeater
PETROCAN%,Car,Gas
%496Y32J%,TFSA,
%496Y32S%,RRSP,
